session_id,avg_exclusivity,high_echo_pct,session_echo_risk,avg_doom_score,high_doom_pct,est_read_minutes,total_words_read,doom_scroll_risk,echo_risk_raw,doom_risk_raw,combined_risk_score,overall_risk,flag_pure_bubble,flag_heavy_doom,flag_double_risk,flag_long_session,flag_high_doom_concentration,recommendation
session_153,1.73,6.7,LOW,16.53,20.0,24.6,4913,HIGH,20.81,66.74,48.37,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_154,1.63,10.0,LOW,16.53,16.7,26.5,5304,HIGH,18.42,66.74,47.41,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_155,2.45,16.7,MEDIUM,14.02,13.3,24.8,4958,LOW,38.04,37.96,37.99,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_156,2.38,10.0,MEDIUM,14.17,20.0,25.9,5175,MEDIUM,36.36,39.68,38.35,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_157,1.79,0.0,LOW,13.1,10.0,15.8,3169,LOW,22.25,27.41,25.35,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_158,2.45,10.0,MEDIUM,12.34,0.0,23.2,4641,LOW,38.04,18.69,26.43,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_159,1.94,6.7,LOW,15.88,23.3,24.0,4808,HIGH,25.84,59.29,45.91,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_160,1.49,6.7,LOW,15.55,16.7,24.2,4849,MEDIUM,15.07,55.5,39.33,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_161,0.93,6.7,LOW,14.55,20.0,28.5,5705,MEDIUM,1.67,44.04,27.09,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_162,2.05,13.3,LOW,13.8,3.3,18.2,3643,LOW,28.47,35.44,32.65,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_163,1.68,6.7,LOW,15.45,13.3,23.5,4704,MEDIUM,19.62,54.36,40.46,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_164,2.34,16.7,MEDIUM,13.62,16.7,22.7,4540,MEDIUM,35.41,33.37,34.19,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_165,2.21,13.3,LOW,10.73,6.7,23.3,4663,LOW,32.3,0.23,13.06,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_166,1.48,3.3,LOW,14.74,13.3,16.9,3387,MEDIUM,14.83,46.22,33.66,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_167,1.04,0.0,LOW,11.24,10.0,19.8,3970,LOW,4.31,6.08,5.37,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_168,2.51,23.3,MEDIUM,16.76,26.7,19.2,3847,HIGH,39.47,69.38,57.42,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_169,2.17,13.3,LOW,12.58,3.3,19.3,3862,LOW,31.34,21.44,25.4,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_170,2.83,16.7,MEDIUM,16.04,23.3,21.3,4252,HIGH,47.13,61.12,55.52,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_171,2.28,20.0,MEDIUM,13.52,13.3,20.1,4027,LOW,33.97,32.22,32.92,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_172,1.67,6.7,LOW,12.0,3.3,28.3,5656,LOW,19.38,14.79,16.63,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_173,1.45,6.7,LOW,14.5,16.7,21.6,4323,MEDIUM,14.11,43.46,31.72,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_174,1.92,13.3,LOW,11.43,6.7,19.8,3961,LOW,25.36,8.26,15.1,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_175,1.87,10.0,LOW,16.33,16.7,23.5,4697,HIGH,24.16,64.45,48.33,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_176,1.72,13.3,LOW,12.6,3.3,24.6,4922,LOW,20.57,21.67,21.23,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_177,1.62,10.0,LOW,12.61,6.7,16.5,3302,LOW,18.18,21.79,20.35,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_178,2.42,16.7,MEDIUM,13.8,6.7,27.2,5432,LOW,37.32,35.44,36.19,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_179,1.71,10.0,LOW,15.5,13.3,19.1,3820,MEDIUM,20.33,54.93,41.09,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_180,1.81,13.3,LOW,16.33,13.3,25.1,5017,HIGH,22.73,64.45,47.76,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_181,1.39,6.7,LOW,15.87,13.3,25.0,4998,MEDIUM,12.68,59.17,40.57,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_182,2.56,10.0,MEDIUM,14.52,13.3,20.0,4002,LOW,40.67,43.69,42.48,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
session_183,2.21,23.3,LOW,14.1,10.0,26.4,5288,LOW,32.3,38.88,36.25,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_184,1.48,6.7,LOW,16.72,23.3,26.9,5387,HIGH,14.83,68.92,47.28,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_185,1.37,3.3,LOW,14.9,20.0,25.2,5043,MEDIUM,12.2,48.05,33.71,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_186,1.93,13.3,LOW,16.84,20.0,22.2,4441,HIGH,25.6,70.3,52.42,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_187,1.54,10.0,LOW,18.07,23.3,28.4,5671,HIGH,16.27,84.4,57.15,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_188,2.95,13.3,MEDIUM,12.59,10.0,22.3,4456,LOW,50.0,21.56,32.94,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_189,1.48,10.0,LOW,13.7,10.0,19.9,3971,LOW,14.83,34.29,26.51,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_190,2.36,16.7,MEDIUM,16.21,20.0,25.0,5001,HIGH,35.89,63.07,52.2,HIGH,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_191,1.7,13.3,LOW,14.72,16.7,19.5,3891,MEDIUM,20.1,45.99,35.63,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_192,1.76,3.3,LOW,14.59,13.3,24.1,4829,MEDIUM,21.53,44.5,35.31,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_193,1.42,6.7,LOW,13.63,13.3,18.5,3703,LOW,13.4,33.49,25.45,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_194,1.2,6.7,LOW,15.77,13.3,26.3,5268,MEDIUM,8.13,58.03,38.07,LOW,0,0,0,0,1,"Low risk: Session shows balanced, diverse content consumption."
session_195,1.87,13.3,LOW,13.72,10.0,20.7,4133,LOW,24.16,34.52,30.38,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_196,1.69,6.7,LOW,16.56,23.3,20.1,4011,HIGH,19.86,67.09,48.2,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_197,2.35,16.7,MEDIUM,15.24,13.3,18.3,3654,MEDIUM,35.65,51.95,45.43,MEDIUM,0,0,0,0,0,Moderate risk: Mild content concentration detected. Worth monitoring.
